16	396
25	181
31	168
52	132
76	101
92	84
109	69
133	51
147	42
158	36
203	17
208	15
211	14
224	10
242	6
262	3
275	2
298	1
304	1
312	1
319	1
346	4
382	12
392	15
419	25
450	41
455	44
468	52
472	55
502	79
513	89
549	133
563	156
576	183
583	201
584	204
599	324
579	410
564	442
553	461
549	467
535	486
526	497
518	506
507	517
496	527
485	536
442	564
440	565
409	579
390	586
366	592
351	595
334	598
302	599
283	599
266	598
236	593
189	578
179	574
149	559
131	547
119	539
114	535
101	524
94	518
62	482
47	461
45	458
26	422
19	405
